PlayerID,PlayerName,Age,Gender,JerseyNumber,TeamID,TeamName,AgeGroup,Division,Type,AgeCoordinator,TeamManager
P901,Wes Reilly,9,Male,1,T-P01,Panthers - U9 - Mixed,U9,1,Mixed,Daniel Osei,Priya Shah
P902,Ruby Kim,9,Female,2,T-P01,Panthers - U9 - Mixed,U9,1,Mixed,Daniel Osei,Priya Shah
P903,Owen Brooks,9,Male,3,T-P01,Panthers - U9 - Mixed,U9,1,Mixed,Daniel Osei,Priya Shah
P904,Isla Baxter,9,Female,4,T-P01,Panthers - U9 - Mixed,U9,1,Mixed,Daniel Osei,Priya Shah
P905,Jude Chan,8,Male,5,T-P01,Panthers - U9 - Mixed,U9,1,Mixed,Daniel Osei,Priya Shah
P906,Piper Kim,8,Female,6,T-P01,Panthers - U9 - Mixed,U9,1,Mixed,Daniel Osei,Priya Shah
P907,Micah Park,8,Male,7,T-P01,Panthers - U9 - Mixed,U9,1,Mixed,Daniel Osei,Priya Shah
P991,Jordan Lee,9,Male,6,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8101,Noah Osei,8,Male,1,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8102,Layla Ortiz,9,Female,2,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8103,Alex Brandt,9,Male,3,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8104,Sophie Foster,8,Female,4,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8105,Miles Fitzgerald,9,Male,5,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8106,Ruby Wu,9,Female,7,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8107,Jack Shah,8,Male,8,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
P8108,Maya Clarke,9,Female,9,T-P02,Comets - U9 - Mixed,U9,1,Mixed,Daniel Osei,Owen Fitzgerald
